County,MedianHouseholdIncome,TotalPopulation,PopAbove20,Citizens,MedianAge,PctMale,PctWhite,PctCollegePlusEdu,PctUninsured,PctForeignBorn,PctNonCitizen,PctDisability,PctUnemployed,PctSSI,PctOASDI,MedianHousingCosts,PctReligious,WoodardAmericanNation,LandAreaSqMiles,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,State,FoundryCounty,MexicanBorderCounty,,,,Male,Female,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_34,Age35_44,Age45_54,Age55_59,Age60_64,Age65_74,Age75_84,Age85,White,Black,AmericanIndianAlaskaNative,Asian,NativeHawaiianPacificIslander,OtherRace,Hispanic,SimpsonDiversityIndex,Population25Plus,EdK8,Ed9_12,EdHS,EdCollNoDegree,EdAssocDegree,EdBachelorDegree,EdGraduateDegree,MedianHousingCosts,Uninsured,ForeignBorn,NonCitizen,Disability,TotalEmp2015,WoodardAmericanNation,LandAreaSqMiles,Employment,LaborForce,Unemployment,TotalSSI,AgedSSI,BlindDisabledSSI,OASDI,SSIPayments,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,TotalReligiousAdherents,EvangelicalAdherents,CatholicAdherents,MormonAdherents,State,FoundryCounty,MexicanBorderCounty
1041,36022,13938,10272,13758,41.3,49.2%,72.70%,14.80%,12.10%,2.40%,1.30%,18.00%,5.80%,4.80%,2.00%,493,0.630219544,Deep South,608.8397775,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,6863,7075,881,818,972,995,724,1441,1822,1991,1071,846,1379,645,353,10133,3429,149,253,0,154,237,0.425311815,9548,892,1213,3629,1745,705,955,409,493,1687,328,180,2511,6232,Deep South,608.8397775,6490,6886,396,666,47,619,283,343000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",8784,7442,NA,221,1,FALSE,FALSE
1043,38971,80965,60803,79482,40.5,49.5%,97.00%,17.40%,14.80%,2.50%,1.80%,15.60%,5.20%,3.20%,1.30%,654,0.775631446,Greater Appalachia,734.8977919,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",1,FALSE,FALSE,,,,40081,40884,4830,5016,5381,4935,5030,9647,10010,11370,5393,5320,8319,4328,1386,78561,1392,937,488,38,674,3493,0.083609923,55773,3560,6565,19331,12247,5947,5092,3031,654,12002,1984,1483,12641,40674,Greater Appalachia,734.8977919,36631,38642,2011,2616,182,2434,1031,1336000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",62799,53863,4614,619,1,FALSE,FALSE
1045,45028,49866,36622,49140,36.8,49.5%,77.00%,18.10%,12.70%,3.20%,1.50%,19.00%,6.00%,3.90%,1.50%,624,0.495969197,Deep South,561.1261951,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),Small metro,1,FALSE,FALSE,,,,24708,25158,3391,2824,3768,3261,3377,7254,5991,6420,3487,2664,4253,2358,818,38373,10399,801,982,98,684,2980,0.399462273,33245,1613,3245,10704,8678,3568,3599,1838,624,6340,1596,726,9458,25423,Deep South,561.1261951,19235,20456,1221,1921,74,1847,751,1006000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),Small metro,24732,17979,278,863,1,FALSE,FALSE
1047,27306,42154,30289,42001,38.7,46.1%,29.40%,14.40%,13.90%,0.80%,0.40%,19.30%,9.20%,10.20%,3.50%,582,0.629738578,Deep South,978.6945399,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",1,FALSE,FALSE,,,,19450,22704,2885,3231,2784,2965,2836,4909,4608,5736,2916,2856,3788,1991,649,12404,29630,315,228,136,105,130,0.437118212,27453,1712,4303,9510,5860,2220,2240,1608,582,5842,325,153,8155,17945,Deep South,978.6945399,14333,15787,1454,4318,259,4059,1468,2474000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",26546,16764,536,329,1,FALSE,FALSE
1049,38192,71068,51603,66825,39.3,49.9%,88.60%,13.40%,16.70%,7.60%,6.00%,15.20%,6.10%,3.10%,1.30%,540,0.553976473,Greater Appalachia,777.0940374,Noncore (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",1,FALSE,FALSE,,,,35474,35594,4469,5014,5123,4859,4376,8171,9539,9751,4519,4643,6286,3376,942,63001,1579,2008,254,737,5172,9957,0.243674774,47227,5701,7324,16633,8074,4215,2969,2311,540,11872,5390,4243,10778,31704,Greater Appalachia,777.0940374,28214,30047,1833,2180,155,2025,897,1102000,Noncore (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",39370,32536,2657,251,1,FALSE,FALSE
1051,53555,80763,60130,79707,37.9,48.7%,77.20%,20.50%,8.80%,2.00%,1.30%,16.00%,5.10%,2.90%,1.00%,845,0.461188911,Deep South,618.4879882,Medium metro,Medium metro,Medium metro,1,FALSE,FALSE,,,,39362,41401,4756,5422,5222,5233,5678,10724,11341,11631,5544,4449,6647,3015,1101,62333,17703,744,842,56,633,2229,0.380014321,54452,2055,5233,19298,11309,4893,7314,4350,845,7094,1635,1056,12921,30796,Deep South,618.4879882,35241,37147,1906,2335,88,2247,798,1308000,Medium metro,Medium metro,Medium metro,37247,28235,677,518,1,FALSE,FALSE
1053,32330,37935,28433,37833,40.3,51.5%,62.80%,13.10%,17.40%,0.60%,0.30%,18.80%,6.60%,4.00%,1.60%,485,0.606669303,Deep South,945.0804427,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,19524,18411,2317,2186,2534,2465,2426,4560,4866,5615,2556,2287,3538,1784,801,23827,12850,1530,92,3,199,466,0.503997834,26007,1738,3502,10942,4854,1710,2178,1083,485,6594,215,102,7132,17818,Deep South,945.0804427,14051,15048,997,1508,88,1420,622,803000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",23014,17917,530,NA,1,FALSE,FALSE
1055,39220,103766,78226,101915,40.8,48.4%,82.60%,17.00%,13.00%,2.70%,1.80%,20.10%,6.10%,4.60%,1.70%,624,0.809571536,Greater Appalachia,535.2841471,Small metro,Small metro,Small metro,1,FALSE,FALSE,,,,50207,53559,5956,6072,6798,6714,6635,11896,13604,14260,7378,6937,10132,5209,2175,85753,16627,1113,932,145,843,3740,0.313090217,71591,4540,8014,22869,18570,6113,7210,4275,624,13480,2754,1851,20903,50186,Greater Appalachia,535.2841471,41874,44605,2731,4763,190,4573,1751,2489000,Small metro,Small metro,Small metro,84006,64316,7624,814,1,FALSE,FALSE
1057,34680,16896,12840,16851,43.2,50.2%,86.70%,14.50%,9.40%,0.40%,0.30%,25.60%,6.90%,4.70%,2.00%,458,0.653349905,Greater Appalachia,627.6836872,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,8477,8419,920,930,1160,1046,960,1878,1917,2439,1261,1174,1886,979,346,14646,2274,106,81,75,0,126,0.25581269,11880,985,1676,4614,2162,766,998,679,458,1583,76,45,4332,5838,Greater Appalachia,627.6836872,6154,6613,459,787,58,729,336,419000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",11039,9490,90,123,1,FALSE,FALSE
1059,35372,31634,23186,29573,38.8,48.4%,89.40%,12.10%,15.70%,8.80%,6.50%,19.00%,6.10%,3.70%,1.50%,533,0.645381551,Deep South,633.8168806,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,15311,16323,2157,2081,2148,2062,2111,3910,4008,4372,2004,1730,3000,1535,516,28266,1721,442,159,45,1488,4958,0.220393822,21075,2342,3013,7895,4011,1409,1562,843,533,4967,2790,2061,6003,14688,Deep South,633.8168806,13133,13983,850,1179,56,1123,466,605000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",20416,16733,1487,475,1,FALSE,FALSE
